Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[clr.dll]","4,624","1,617",76.81,26.86,
"[wow64win.dll]",683,604,11.35,10.03,
"[igdumd32.dll]",832,482,13.82,8.01,
"[wpfgfx_v0400.dll]","1,795",402,29.82,6.68,
"[mscorlib.ni.dll]","3,272",348,54.35,5.78,
"[msvcr120_clr0400.dll]",314,308,5.22,5.12,
"[WindowsBase.ni.dll]","3,963",274,65.83,4.55,
"[PresentationCore.ni.dll]","2,483",262,41.25,4.35,
"[clrjit.dll]",466,247,7.74,4.10,
"[ntdll.dll]","5,893",228,97.89,3.79,
"[PresentationFramework.ni.dll]","3,961",189,65.80,3.14,
"[ntdll.dll]",914,157,15.18,2.61,
"[Unknown]","3,779",124,62.77,2.06,
"[wow64cpu.dll]",914,98,15.18,1.63,
"[WindowsCodecs.dll]",242,91,4.02,1.51,
"[EntityFramework.ni.dll]","1,180",82,19.60,1.36,
"[d3d9.dll]",902,71,14.98,1.18,
"[wow64.dll]",913,59,15.17,0.98,
"[user32.dll]","3,919",53,65.10,0.88,
"[KernelBase.dll]",219,45,3.64,0.75,
"[System.Xaml.ni.dll]","1,510",39,25.08,0.65,
"[System.ni.dll]",194,33,3.22,0.55,
"[System.Core.ni.dll]",614,32,10.20,0.53,
"[DWrite.dll]",67,30,1.11,0.50,
"[kernel32.dll]","5,898",26,97.97,0.43,
"[msctf.dll]",221,19,3.67,0.32,
"[msvcrt.dll]",27,18,0.45,0.30,
"[System.Xml.ni.dll]",36,17,0.60,0.28,
"[System.Data.ni.dll]",92,12,1.53,0.20,
"[PresentationNative_v0400.dll]",44,8,0.73,0.13,
"[apphelp.dll]",642,7,10.66,0.12,
"[combase.dll]",22,5,0.37,0.08,
"[dwmapi.dll]",43,3,0.71,0.05,
"[EntityFramework.SqlServer.ni.dll]",632,2,10.50,0.03,
"[gdi32.dll]",302,2,5.02,0.03,
"[mscoree.dll]","3,964",2,65.85,0.03,
"[mswsock.dll]",12,2,0.20,0.03,
"[schannel.dll]",7,2,0.12,0.03,
"[System.Xml.Linq.ni.dll]",5,2,0.08,0.03,
"[uxtheme.dll]",652,2,10.83,0.03,
"[bcryptprimitives.dll]",1,1,0.02,0.02,
"[dcomp.dll]",2,1,0.03,0.02,
"[dnsapi.dll]",4,1,0.07,0.02,
"[iertutil.dll]",4,1,0.07,0.02,
"[mscoreei.dll]","3,960",1,65.78,0.02,
"[ole32.dll]",10,1,0.17,0.02,
"[oleaut32.dll]",4,1,0.07,0.02,
"[rmclient.dll]",1,1,0.02,0.02,
"[rpcrt4.dll]",8,1,0.13,0.02,
"[rsaenh.dll]",3,1,0.05,0.02,
"[sechost.dll]",1,1,0.02,0.02,
"[sspicli.dll]",14,1,0.23,0.02,
"ControlzEx.Standard.Utility.GetPoint",1,1,0.02,0.02,
"ControlzEx.Windows.Shell.WindowChromeWorker._WndProc",58,1,0.96,0.02,
"MaterialDesignThemes.Wpf.Ripple.MouseMouveEventHandler",1,1,0.02,0.02,
"WpfAnimatedGif.ImageAnimationController.ImageSourceChanged",1,1,0.02,0.02,
"[bcrypt.dll]",3,0,0.05,0.00,
"[cryptsp.dll]",3,0,0.05,0.00,
"[d3d11.dll]",1,0,0.02,0.00,
"[DataExchange.dll]",4,0,0.07,0.00,
"[FWPUCLNT.DLL]",1,0,0.02,0.00,
"[imm32.dll]",6,0,0.10,0.00,
"[msctfui.dll]",1,0,0.02,0.00,
"[msv1_0.dll]",1,0,0.02,0.00,
"[ncrypt.dll]",3,0,0.05,0.00,
"[ncryptsslp.dll]",1,0,0.02,0.00,
"[shell32.dll]",1,0,0.02,0.00,
"[System.ComponentModel.DataAnnotations.ni.dll]",28,0,0.47,0.00,
"[System.Configuration.ni.dll]",25,0,0.42,0.00,
"[System.Transactions.ni.dll]",7,0,0.12,0.00,
"[System.Windows.Interactivity.ni.dll]",35,0,0.58,0.00,
"[twinapi.appcore.dll]",3,0,0.05,0.00,
"[UIAutomationCore.dll]",6,0,0.10,0.00,
"[UIAutomationTypes.ni.dll]",10,0,0.17,0.00,
"[urlmon.dll]",6,0,0.10,0.00,
"[windows.storage.dll]",1,0,0.02,0.00,
"[ws2_32.dll]",16,0,0.27,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.<AssociatedObject_SourceInitialized>b__45_0",2,0,0.03,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.AssociatedObject_Closed",3,0,0.05,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.AssociatedObject_LostFocus",1,0,0.02,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.AssociatedObject_SourceInitialized",10,0,0.17,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.HandleBorderAndResizeBorderThicknessDuringMaximize",1,0,0.02,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.HandleMaximize",6,0,0.10,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.InitializeWindowChrome",6,0,0.10,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.Invoke",2,0,0.03,0.00,
"ControlzEx.Behaviors.WindowChromeBehavior.OnAttached",6,0,0.10,0.00,
"ControlzEx.Standard.DpiHelper.DeviceRectToLogical",1,0,0.02,0.00,
"ControlzEx.Standard.NativeMethods.GetMonitorInfo",1,0,0.02,0.00,
"ControlzEx.Standard.NativeMethods.GetWindowRect",2,0,0.03,0.00,
"ControlzEx.Standard.NativeMethods.SetWindowLongPtr",4,0,0.07,0.00,
"ControlzEx.Standard.NativeMethods.SetWindowPos",1,0,0.02,0.00,
"ControlzEx.Standard.NativeMethods.SetWindowRgn",257,0,4.27,0.00,
"ControlzEx.Windows.Shell.WindowChrome..ctor",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChrome._OnChromeChanged",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChrome.get_UseAeroCaptionButtons",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._ApplyNewCustomChrome",278,0,4.62,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._GetWindowRect",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleMoveForRealSize",3,0,0.05,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleNCActivate",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleNCCalcSize",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleNCHitTest",38,0,0.63,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._HandleWindowPosChanged",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._ModifyStyle",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._OnChromeWorkerChanged",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._RestoreStandardChromeState",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._SetRoundingRegion",262,0,4.35,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._SetWindow",4,0,0.07,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UnsetWindow",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UpdateFrameState",266,0,4.42,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._UpdateSystemMenu",2,0,0.03,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker._WindowSourceInitialized",278,0,4.62,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker.get__MinimizeAnimation",1,0,0.02,0.00,
"ControlzEx.Windows.Shell.WindowChromeWorker.SetWindowChromeWorker",4,0,0.07,0.00,
"dynamicClass.Go4",2,0,0.03,0.00,
"dynamicClass.IL_STUB_PInvoke",4,0,0.07,0.00,
"dynamicClass.IL_STUB_PInvoke",1,0,0.02,0.00,
"dynamicClass.IL_STUB_PInvoke",1,0,0.02,0.00,
"dynamicClass.IL_STUB_PInvoke",4,0,0.07,0.00,
"dynamicClass.IL_STUB_PInvoke",257,0,4.27,0.00,
"dynamicClass.lambda_method",5,0,0.08,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",17,0,0.28,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",6,0,0.10,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",117,0,1.94,0.00,
"dynamicClass.lambda_method",915,0,15.20,0.00,
"dynamicClass.lambda_method",2,0,0.03,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",2,0,0.03,0.00,
"dynamicClass.lambda_method",1,0,0.02,0.00,
"dynamicClass.lambda_method",4,0,0.07,0.00,
"dynamicClass.lambda_method",6,0,0.10,0.00,
"LiquorShop.Classes.PurchaseVm..ctor",1,0,0.02,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.<LoadedCommand_Execute>b__128_0",43,0,0.71,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.InitAsync",43,0,0.71,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel.LoadedCommand_Execute",7,0,0.12,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel+<InitAsync>d__130.MoveNext",96,0,1.59,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseEntryViewModel+<LoadedCommand_Execute>d__128.MoveNext",2,0,0.03,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.<LoadedCommand_Execute>b__27_0",5,0,0.08,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.Init",5,0,0.08,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel.LoadedCommand_Execute",4,0,0.07,0.00,
"LiquorShop.ViewModels.Purchases.PurchaseMainViewModel+<LoadedCommand_Execute>d__27.MoveNext",1,0,0.02,0.00,
"LiquorShop.Views.Finance.FinanceWindow..ctor",147,0,2.44,0.00,
"LiquorShop.Views.Finance.FinanceWindow.InitializeComponent",140,0,2.33,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView..ctor",82,0,1.36,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView.InitializeComponent",82,0,1.36,0.00,
"LiquorShop.Views.Purchases.PurchaseEntryView.quantitytxt_TextChanged",1,0,0.02,0.00,
"LiquorShop.Views.Purchases.PurchasesWindow..ctor",24,0,0.40,0.00,
"LiquorShop.Views.Purchases.PurchasesWindow.InitializeComponent",19,0,0.32,0.00,
"LiquorShopService.Implementations.AccountingService.CreateFakeUserAsync",33,0,0.55,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllAccountClassesAsync",15,0,0.25,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerAccountsAsync",3,0,0.05,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerGeneralsAsync",17,0,0.28,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerTransactionDetails",34,0,0.56,0.00,
"LiquorShopService.Implementations.AccountingService.GetAllLedgerTransactionsAsync",26,0,0.43,0.00,
"LiquorShopService.Implementations.AccountingService+<CreateFakeUserAsync>d__44.MoveNext",33,0,0.55,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllAccountClassesAsync>d__28.MoveNext",18,0,0.30,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerAccountsAsync>d__31.MoveNext",36,0,0.60,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerGeneralsAsync>d__34.MoveNext",64,0,1.06,0.00,
"LiquorShopService.Implementations.AccountingService+<GetAllLedgerTransactionsAsync>d__37.MoveNext",43,0,0.71,0.00,
"LiquorShopService.Implementations.AdministrationService.FindUserByUserNameAndPassword",785,0,13.04,0.00,
"LiquorShopService.Implementations.AdministrationService+<FindUserByUserNameAndPassword>d__0.MoveNext",779,0,12.94,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllBanksAsync",41,0,0.68,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllBeveragesAsync",38,0,0.63,0.00,
"LiquorShopService.Implementations.PurchaseService.GetAllSuppliersAsync",14,0,0.23,0.00,
"LiquorShopService.Implementations.PurchaseService+<GetAllBanksAsync>d__27.MoveNext",39,0,0.65,0.00,
"LiquorShopService.Implementations.PurchaseService+<GetAllBeveragesAsync>d__8.MoveNext",50,0,0.83,0.00,
